Last Name,First Name,Email,Grade
Klein,Alexander,alexander.klein@univ.edu,9
Flower,John,john.g.2.flower@univ.edu,7
Hill,Calvin,calvin.hill@univ.edu,8
Lawson,Robert,robert.lawson@univ.edu,9
Dunn,Peter,peter.dunn@univ.edu,4
Miller,Karen,karen.miller@univ.edu,9
Mcconnell,Sarah,sarah.mcconnell@univ.edu,11
Black,Jeremy,jeremy.black@univ.edu,10
Moore,Andrew,andrew.moore@univ.edu,6
Sellers,David,david.sellers@univ.edu,10
Tanner,Michael,michael.tanner@univ.edu,8
Vega,Robert,robert.vega@univ.edu,5
Meyer,Makayla,makayla.meyer@univ.edu,8
White,Kevin,kevin.white@univ.edu,7
Miranda,Samantha,samantha.miranda@univ.edu,6
Hicks,Phillip,phillip.hicks@univ.edu,7
Burton,Elizabeth,elizabeth.burton@univ.edu,11
Jones,Mary,mary.jones@univ.edu,10
Meyer,Jack,jack.meyer@univ.edu,5
Estrada,Steven,steven.estrada@univ.edu,11
Spencer,Jennifer,jennifer.spencer@univ.edu,10
Davidson,Michael,michael.davidson@univ.edu,4
Wood,Joshua,joshua.wood@univ.edu,6
Wilson,Tracey,tracey.wilson@univ.edu,6
Jenkins,Jack,jack.jenkins@univ.edu,4
Tran,Alison,alison.tran@univ.edu,6
Neal,Nicole,nicole.neal@univ.edu,12
Peck,Andrew,andrew.peck@univ.edu,11
Hernandez,Janet,janet.hernandez@univ.edu,10
Everett,Michael,michael.everett@univ.edu,10
Dunn,Rhonda,rhonda.dunn@univ.edu,8
Jones,Chase,chase.jones@univ.edu,6
White,Spencer,spencer.white@univ.edu,7
Walton,Sean,sean.walton@univ.edu,10
Archer,Cynthia,cynthia.archer@univ.edu,7
Briggs,Robert,robert.briggs@univ.edu,7
Butler,Bradley,bradley.butler@univ.edu,10
Zuniga,Felicia,felicia.zuniga@univ.edu,11
George,Timothy,timothy.george@univ.edu,5
Munoz,Jerome,jerome.munoz@univ.edu,5
Goodwin,Steven,steven.goodwin@univ.edu,4
Herman,Daniel,daniel.herman@univ.edu,8
Bell,Renee,renee.bell@univ.edu,12
Green,David,david.green@univ.edu,4
Rogers,Monique,monique.rogers@univ.edu,4
Zamora,Thomas,thomas.zamora@univ.edu,9
Archer,Alec,alec.archer@univ.edu,5
Thomas,Mary,mary.thomas@univ.edu,10
Middleton,Mitchell,mitchell.middleton@univ.edu,7
Perez,Alyssa,alyssa.perez@univ.edu,11
Gutierrez,Patricia,patricia.gutierrez@univ.edu,8
Sharp,Michael,michael.sharp@univ.edu,9
Love,Marie,marie.love@univ.edu,12
Brewer,Thomas,thomas.brewer@univ.edu,6
Schmidt,Cheryl,cheryl.schmidt@univ.edu,4
Howard,John,john.howard@univ.edu,5
Estrada,Sharon,sharon.estrada@univ.edu,9
Turner,Gregory,gregory.turner@univ.edu,7
Lambert,Miguel,miguel.lambert@univ.edu,5
White,Teresa,teresa.white@univ.edu,6
Turner,Joseph,joseph.turner@univ.edu,6
Olson,Sarah,sarah.olson@univ.edu,9
Tapia,Sandy,sandy.tapia@univ.edu,9
Espinoza,Mitchell,mitchell.espinoza@univ.edu,12
King,Susan,susan.king@univ.edu,8
Fuller,Dawn,dawn.fuller@univ.edu,7
Ellis,Michael,michael.ellis@univ.edu,11
Kennedy,Yolanda,yolanda.kennedy@univ.edu,6
Luna,Nicholas,nicholas.luna@univ.edu,9
Rodriguez,Jessica,jessica.rodriguez@univ.edu,7
Thomas,Christine,christine.thomas@univ.edu,6
Thompson,Cheryl,cheryl.thompson@univ.edu,6
Wood,Randall,randall.wood@univ.edu,5
Brown,Jon,jon.brown@univ.edu,4
Grant,Rodney,rodney.grant@univ.edu,4
Hernandez,Jennifer,jennifer.hernandez@univ.edu,12
Bautista,Darren,darren.bautista@univ.edu,11
Glenn,Gregory,gregory.glenn@univ.edu,5
Davidson,Debbie,debbie.davidson@univ.edu,9
Alvarez,Gloria,gloria.alvarez@univ.edu,6
Yu,Gregory,gregory.yu@univ.edu,10
Clark,Stephanie,stephanie.clark@univ.edu,11
