,Section,Email Address,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade,Floor Score,Exam Score
axa85092,3,alexis.adams@univ.edu,Alexis,Adams,71.0,100,54,60,60,90,69,100,63,100,76,100,73,80,48,80,37,60,68,80,85,100,74,100,77,100,13,7,11,7,11,0.85,0.74,0.77,0.7282352941176471,0.7335833333333331,0.7335833333333331,0.7101449275362319,0.7424420677361854,0.7424420677361854,0.7481659536541889,75.0,C,70.0,0.23199999999999998
cxa91524,3,cynthia.archer@univ.edu,Cynthia,Archer,69.0,100,49,60,87,90,98,100,61,100,61,100,54,80,65,80,51,60,70,80,65,100,79,100,81,100,7,4,7,9,12,0.65,0.79,0.81,0.7823529411764706,0.7885833333333333,0.7885833333333333,0.5652173913043478,0.5915304303539598,0.5915304303539598,0.7258924624395213,73.0,C,70.0,0.233
dxb69009,3,donald.baxter@univ.edu,Donald,Baxter,69.0,100,57,60,86,90,81,100,76,100,89,100,71,80,58,80,38,60,59,80,62,100,89,100,81,100,9,5,12,6,11,0.62,0.89,0.81,0.8047058823529412,0.803888888888889,0.8047058823529412,0.6231884057971014,0.6405271199388846,0.6405271199388846,0.7555404889228419,76.0,C,70.0,0.2415
jbb40508,3,jacob.berry@univ.edu,Jacob,Berry,98.0,100,42,60,84,90,97,100,73,100,60,100,66,80,61,80,50,60,80,80,68,100,78,100,89,100,10,10,9,5,7,0.68,0.78,0.89,0.8364705882352941,0.8334166666666665,0.8364705882352941,0.5942028985507246,0.6091291061879297,0.6091291061879297,0.7628269671504966,77.0,C,70.0,0.24550000000000002
msb50619,3,michael.bowman@univ.edu,Michael,Bowman,88.0,100,58,60,82,90,71,100,100,100,64,100,75,80,59,80,53,60,63,80,88,100,97,100,82,100,5,7,5,4,6,0.88,0.97,0.82,0.8388235294117647,0.845361111111111,0.845361111111111,0.391304347826087,0.40020881079704607,0.40020881079704607,0.7222070876835582,73.0,C,70.0,0.264
jxb48517,3,jon.brown@univ.edu,Jon,Brown,95.0,100,48,60,70,90,88,100,85,100,100,100,76,80,58,80,54,60,56,80,75,100,90,100,66,100,12,8,4,7,8,0.75,0.9,0.66,0.8588235294117647,0.8532777777777778,0.8588235294117647,0.5652173913043478,0.6052406417112299,0.6052406417112299,0.7516016042780749,76.0,C,70.0,0.2265
exb86731,3,elizabeth.burton@univ.edu,Elizabeth,Burton,73.0,100,56,60,79,90,67,100,99,100,88,100,71,80,79,80,43,60,75,80,74,100,95,100,96,100,14,4,11,10,14,0.74,0.95,0.96,0.8588235294117647,0.8610277777777778,0.8610277777777778,0.7681159420289855,0.8134810287751465,0.8134810287751465,0.8644554197436551,87.0,B,80.0,0.276
bxc99341,3,brian.campbell@univ.edu,Brian,Campbell,98.0,100,56,60,57,90,93,100,80,100,67,100,70,80,73,80,58,60,49,80,60,100,62,100,80,100,7,6,5,5,15,0.6,0.62,0.8,0.8247058823529412,0.8313333333333335,0.8313333333333335,0.5507246376811594,0.5875248281130634,0.5875248281130634,0.7207907817672524,73.0,C,70.0,0.212
dxd08420,3,debbie.davidson@univ.edu,Debbie,Davidson,90.0,100,39,60,65,90,76,100,60,100,80,100,68,80,73,80,57,60,50,80,62,100,94,100,91,100,13,7,9,8,8,0.62,0.94,0.91,0.7741176470588236,0.7769722222222222,0.7769722222222222,0.6521739130434783,0.6831983702571937,0.6831983702571937,0.777248399966047,78.0,C,70.0,0.2615
sxe10327,3,steven.estrada@univ.edu,Steven,Estrada,94.0,100,54,60,90,90,63,100,72,100,69,100,74,80,51,80,58,60,69,80,76,100,98,100,65,100,7,7,11,7,11,0.76,0.98,0.65,0.8164705882352942,0.8271666666666666,0.8271666666666666,0.6231884057971014,0.6333511586452762,0.6333511586452762,0.7543720142602495,76.0,C,70.0,0.2335
mce66433,3,michael.everett@univ.edu,Michael,Everett,77.0,100,40,60,83,90,72,100,63,100,80,100,48,80,59,80,46,60,64,80,95,100,64,100,65,100,5,8,10,10,10,0.95,0.64,0.65,0.7435294117647059,0.7413055555555554,0.7435294117647059,0.6231884057971014,0.6247466259230966,0.6247466259230966,0.6938357524828114,70.0,C,70.0,0.20900000000000002
eef70070,3,erin.figueroa@univ.edu,Erin,Figueroa,69.0,100,56,60,89,90,75,100,89,100,79,100,71,80,80,80,52,60,59,80,91,100,67,100,96,100,8,10,4,4,15,0.91,0.67,0.96,0.8458823529411764,0.8533888888888889,0.8533888888888889,0.5942028985507246,0.6329895594601477,0.6329895594601477,0.7877524233936,79.0,C,70.0,0.2565
jgf12345,3,john.g.2.flower@univ.edu,Gregg,Flower,95.0,100,46,60,66,90,88,100,100,100,81,100,80,80,77,80,57,60,55,80,95,100,77,100,80,100,12,6,7,11,8,0.95,0.77,0.8,0.8764705882352941,0.874,0.8764705882352941,0.6376811594202898,0.6710109498344792,0.6710109498344792,0.7963915202444614,80.0,B,80.0,0.2445
bjg09950,3,brian.glover@univ.edu,Brian,Glover,74.0,100,57,60,62,90,87,100,69,100,80,100,70,80,73,80,45,60,76,80,60,100,75,100,77,100,5,6,12,9,12,0.6,0.75,0.77,0.8152941176470588,0.8226388888888888,0.8226388888888888,0.6376811594202898,0.6406569900687548,0.6406569900687548,0.741752652576182,75.0,C,70.0,0.2205
rxg90426,3,rebecca.graham@univ.edu,Rebecca,Graham,83.0,100,60,60,86,90,93,100,95,100,77,100,72,80,52,80,46,60,53,80,76,100,72,100,78,100,10,10,8,8,14,0.76,0.72,0.78,0.8435294117647059,0.8414722222222224,0.8435294117647059,0.7246376811594203,0.7568882098293864,0.7568882098293864,0.7914782276546983,80.0,B,80.0,0.22699999999999998
kjh60744,3,kimberly.henderson@univ.edu,Kimberly,Henderson,97.0,100,50,60,81,90,86,100,87,100,61,100,53,80,73,80,40,60,58,80,92,100,64,100,68,100,5,8,5,6,10,0.92,0.64,0.68,0.8070588235294117,0.8009999999999999,0.8070588235294117,0.4927536231884058,0.5087802393684747,0.5087802393684747,0.6874576012223071,69.0,D,60.0,0.21200000000000002
dkh42103,3,daniel.herman@univ.edu,Daniel,Herman,85.0,100,37,60,84,90,67,100,61,100,69,100,78,80,75,80,44,60,49,80,92,100,76,100,91,100,10,7,8,5,14,0.92,0.76,0.91,0.7635294117647059,0.7628333333333333,0.7635294117647059,0.6376811594202898,0.6740310669722435,0.6740310669722435,0.7661210847975555,77.0,C,70.0,0.25850000000000006
jdh43008,3,janet.hernandez@univ.edu,Janet,Hernandez,91.0,100,37,60,64,90,67,100,76,100,86,100,60,80,48,80,36,60,71,80,95,100,84,100,75,100,6,4,10,4,7,0.95,0.84,0.75,0.7482352941176471,0.7365277777777778,0.7482352941176471,0.4492753623188406,0.45388082505729566,0.45388082505729566,0.6794583651642476,68.0,D,60.0,0.244
lxh37504,3,lori.hernandez@univ.edu,Lori,Hernandez,97.0,100,36,60,65,90,96,100,99,100,82,100,72,80,52,80,40,60,71,80,77,100,89,100,90,100,6,6,6,9,12,0.77,0.89,0.9,0.8352941176470589,0.8166388888888889,0.8352941176470589,0.5652173913043478,0.5882505729564553,0.5882505729564553,0.7730928189457602,78.0,C,70.0,0.2625
mjh35671,3,melissa.holloway@univ.edu,Melissa,Holloway,69.0,100,52,60,55,90,87,100,68,100,99,100,71,80,79,80,54,60,67,80,73,100,74,100,64,100,5,5,5,7,8,0.73,0.74,0.64,0.8247058823529412,0.8320277777777779,0.8320277777777779,0.43478260869565216,0.4497326203208556,0.4497326203208556,0.6742308972073678,68.0,D,60.0,0.2065
mxj03480,3,molly.james@univ.edu,Molly,James,63.0,100,51,60,87,90,68,100,93,100,64,100,80,80,53,80,40,60,66,80,63,100,79,100,80,100,12,5,12,10,9,0.63,0.79,0.8,0.7823529411764706,0.7850833333333334,0.7850833333333334,0.6956521739130435,0.718882098293863,0.718882098293863,0.7601979628214923,77.0,C,70.0,0.2305
jjj70805,3,jack.jenkins@univ.edu,Jack,Jenkins,60.0,100,52,60,88,90,69,100,86,100,61,100,75,80,71,80,37,60,59,80,60,100,92,100,75,100,14,7,4,7,12,0.6,0.92,0.75,0.7741176470588236,0.7783611111111111,0.7783611111111111,0.6376811594202898,0.6949376114081997,0.6949376114081997,0.7543257278669043,76.0,C,70.0,0.2345
cxj85343,3,charles.jones@univ.edu,Charles,Jones,70.0,100,60,60,77,90,71,100,82,100,93,100,61,80,56,80,48,60,55,80,67,100,70,100,68,100,8,6,4,7,15,0.67,0.7,0.68,0.7917647058823529,0.7965555555555556,0.7965555555555556,0.5797101449275363,0.6225133689839573,0.6225133689839573,0.7108762329174094,72.0,C,70.0,0.20550000000000002
mxj42062,3,mary.jones@univ.edu,Mary,Jones,64.0,100,42,60,88,90,90,100,94,100,91,100,60,80,75,80,57,60,51,80,99,100,61,100,86,100,13,7,10,7,14,0.99,0.61,0.86,0.8376470588235294,0.8342777777777778,0.8376470588235294,0.7391304347826086,0.7806773618538324,0.7806773618538324,0.8087620320855615,81.0,B,80.0,0.2395
mtl13635,3,miguel.lambert@univ.edu,Miguel,Lambert,78.0,100,51,60,81,90,94,100,80,100,80,100,55,80,56,80,60,60,53,80,84,100,68,100,68,100,13,4,5,9,14,0.84,0.68,0.68,0.8094117647058824,0.8119999999999999,0.8119999999999999,0.6521739130434783,0.7104252610134963,0.7104252610134963,0.7499275783040489,75.0,C,70.0,0.21200000000000002
lxm97591,3,lori.martin@univ.edu,Lori,Martin,89.0,100,56,60,56,90,92,100,66,100,72,100,59,80,59,80,58,60,60,80,66,100,69,100,74,100,6,7,10,4,7,0.66,0.69,0.74,0.7847058823529411,0.7937222222222221,0.7937222222222221,0.4927536231884058,0.4938808250572957,0.4938808250572957,0.6786531364060775,68.0,D,60.0,0.213
kkm13403,3,karen.mcdowell@univ.edu,Karen,Mcdowell,77.0,100,37,60,75,90,64,100,67,100,76,100,71,80,71,80,46,60,64,80,68,100,89,100,94,100,6,5,11,8,14,0.68,0.89,0.94,0.7623529411764706,0.7631666666666667,0.7631666666666667,0.6376811594202898,0.6527883880825058,0.6527883880825058,0.7651031830914184,77.0,C,70.0,0.264
mdm85926,3,makayla.meyer@univ.edu,Makayla,Meyer,100.0,100,42,60,60,90,61,100,77,100,64,100,65,80,67,80,40,60,64,80,88,100,70,100,72,100,5,6,8,7,12,0.88,0.7,0.72,0.7529411764705882,0.7503333333333334,0.7529411764705882,0.5507246376811594,0.5650267379679145,0.5650267379679145,0.6926844919786097,70.0,C,70.0,0.22199999999999998
mxm68572,3,mitchell.middleton@univ.edu,Mitchell,Middleton,100.0,100,54,60,77,90,96,100,82,100,93,100,79,80,76,80,59,60,63,80,62,100,99,100,63,100,9,9,7,5,6,0.62,0.99,0.63,0.9164705882352941,0.9173888888888888,0.9173888888888888,0.5217391304347826,0.5374178762414057,0.5374178762414057,0.7526809184279772,76.0,C,70.0,0.2245
jxm86374,3,jennifer.miller@univ.edu,Jennifer,Miller,74.0,100,57,60,69,90,94,100,73,100,100,100,79,80,69,80,43,60,66,80,82,100,77,100,66,100,11,8,6,11,11,0.82,0.77,0.66,0.851764705882353,0.8518333333333332,0.8518333333333332,0.6811594202898551,0.7177310924369747,0.7177310924369747,0.7730526610644257,78.0,C,70.0,0.21700000000000003
kcm67588,3,karen.miller@univ.edu,Karen,Miller,82.0,100,46,60,80,90,60,100,89,100,89,100,60,80,63,80,53,60,75,80,71,100,78,100,87,100,11,6,9,5,14,0.71,0.78,0.87,0.82,0.8213888888888888,0.8213888888888888,0.6521739130434783,0.6906442577030812,0.6906442577030812,0.7797488328664799,78.0,C,70.0,0.24400000000000002
sxm76462,3,samantha.miranda@univ.edu,Samantha,Miranda,78.0,100,36,60,63,90,86,100,65,100,100,100,48,80,71,80,57,60,73,80,94,100,71,100,84,100,11,10,6,6,11,0.94,0.71,0.84,0.7964705882352942,0.7939999999999999,0.7964705882352942,0.6376811594202898,0.67296918767507,0.67296918767507,0.7644789915966386,77.0,C,70.0,0.244
jcm86673,3,jerome.munoz@univ.edu,Jerome,Munoz,89.0,100,42,60,88,90,99,100,64,100,76,100,68,80,52,80,53,60,58,80,92,100,75,100,76,100,9,6,5,10,8,0.92,0.75,0.76,0.8105882352941176,0.8066111111111111,0.8105882352941176,0.5507246376811594,0.5786503692386045,0.5786503692386045,0.7328304048892285,74.0,C,70.0,0.23500000000000001
jxo03543,3,jennifer.olsen@univ.edu,Jennifer,Olsen,83.0,100,36,60,82,90,73,100,73,100,89,100,51,80,54,80,46,60,56,80,81,100,74,100,78,100,14,8,4,8,7,0.81,0.74,0.78,0.7564705882352941,0.7470277777777777,0.7564705882352941,0.5942028985507246,0.639223325693914,0.639223325693914,0.7258552330022918,73.0,C,70.0,0.23149999999999998
akp28863,3,andrew.peck@univ.edu,Andrew,Peck,83.0,100,54,60,64,90,85,100,92,100,87,100,76,80,66,80,36,60,72,80,92,100,69,100,60,100,11,10,11,5,14,0.92,0.69,0.6,0.8411764705882353,0.8356111111111112,0.8411764705882353,0.7391304347826086,0.7675070028011204,0.7675070028011204,0.7717226890756301,78.0,C,70.0,0.205
axp66215,3,alyssa.perez@univ.edu,Alyssa,Perez,86.0,100,45,60,74,90,87,100,63,100,74,100,70,80,50,80,59,60,52,80,85,100,79,100,73,100,14,7,11,6,11,0.85,0.79,0.73,0.7764705882352941,0.7805555555555557,0.7805555555555557,0.7101449275362319,0.7463381716322892,0.7463381716322892,0.7671236737119091,77.0,C,70.0,0.23100000000000004
jxr19825,3,jenny.ramsey@univ.edu,Jenny,Ramsey,92.0,100,54,60,68,90,79,100,78,100,76,100,54,80,75,80,49,60,67,80,69,100,91,100,60,100,13,7,10,10,10,0.69,0.91,0.6,0.8141176470588235,0.8172222222222223,0.8172222222222223,0.7246376811594203,0.7568678380443087,0.7568678380443087,0.7694492403021815,77.0,C,70.0,0.2155
mxr93797,3,monique.rogers@univ.edu,Monique,Rogers,81.0,100,51,60,83,90,78,100,98,100,78,100,67,80,58,80,41,60,58,80,82,100,95,100,81,100,14,6,4,5,14,0.82,0.95,0.81,0.8152941176470588,0.8093055555555557,0.8152941176470588,0.6231884057971014,0.6863661828367711,0.6863661828367711,0.7895275019098549,79.0,C,70.0,0.2575
dxs40452,3,david.sellers@univ.edu,David,Sellers,81.0,100,49,60,76,90,86,100,60,100,83,100,77,80,57,80,36,60,62,80,69,100,90,100,90,100,9,8,10,7,12,0.69,0.9,0.9,0.7847058823529411,0.7811111111111112,0.7847058823529411,0.6666666666666666,0.6879500891265597,0.6879500891265597,0.7797673796791444,78.0,C,70.0,0.2595
mds70567,3,michael.sharp@univ.edu,Michael,Sharp,78.0,100,42,60,67,90,85,100,93,100,95,100,66,80,50,80,53,60,48,80,92,100,94,100,95,100,13,10,9,5,6,0.92,0.94,0.95,0.7964705882352942,0.7887777777777778,0.7964705882352942,0.6231884057971014,0.6470078940667177,0.6470078940667177,0.795190603514133,80.0,B,80.0,0.2825
bxs49242,3,brandi.silva@univ.edu,Brandi,Silva,97.0,100,60,60,75,90,61,100,83,100,66,100,50,80,79,80,48,60,70,80,96,100,72,100,81,100,12,10,9,8,8,0.96,0.72,0.81,0.8105882352941176,0.8190833333333334,0.8190833333333334,0.6811594202898551,0.7050165520753755,0.7050165520753755,0.7806382989559459,79.0,C,70.0,0.2415
mxs10343,3,mark.smith@univ.edu,Mark,Smith,88.0,100,52,60,63,90,72,100,91,100,87,100,76,80,54,80,56,60,59,80,80,100,94,100,65,100,11,10,8,4,9,0.8,0.94,0.65,0.8211764705882353,0.8242499999999999,0.8242499999999999,0.6086956521739131,0.634593837535014,0.634593837535014,0.7515781512605042,76.0,C,70.0,0.2315
jjs71468,3,jennifer.spencer@univ.edu,Jennifer,Spencer,60.0,100,53,60,64,90,63,100,71,100,82,100,61,80,53,80,59,60,77,80,96,100,60,100,93,100,5,4,10,4,8,0.96,0.6,0.93,0.7564705882352941,0.7725277777777778,0.7725277777777778,0.4492753623188406,0.4523656735421441,0.4523656735421441,0.6922208131737544,70.0,C,70.0,0.2475
mnt83593,3,michael.tanner@univ.edu,Michael,Tanner,69.0,100,42,60,55,90,88,100,83,100,83,100,60,80,56,80,50,60,54,80,97,100,65,100,95,100,14,10,8,6,6,0.97,0.65,0.95,0.7529411764705882,0.7499444444444444,0.7529411764705882,0.6376811594202898,0.6677107206518971,0.6677107206518971,0.7574896867838044,76.0,C,70.0,0.256
cxt12282,3,christine.thomas@univ.edu,Christine,Thomas,83.0,100,40,60,86,90,99,100,80,100,67,100,73,80,54,80,40,60,65,80,72,100,71,100,90,100,12,8,6,9,15,0.72,0.71,0.9,0.808235294117647,0.7978888888888889,0.808235294117647,0.7246376811594203,0.774008148714031,0.774008148714031,0.7974965622612682,80.0,B,80.0,0.242
adt44286,3,alison.tran@univ.edu,Alison,Tran,82.0,100,41,60,78,90,62,100,71,100,100,100,51,80,53,80,55,60,74,80,94,100,81,100,86,100,5,10,6,9,14,0.94,0.81,0.86,0.7847058823529411,0.7841666666666667,0.7847058823529411,0.6376811594202898,0.6567354214413038,0.6567354214413038,0.7679029793735677,77.0,C,70.0,0.257
jct95195,3,joseph.turner@univ.edu,Joseph,Turner,60.0,100,56,60,81,90,62,100,85,100,81,100,67,80,61,80,50,60,62,80,94,100,72,100,86,100,8,6,6,11,6,0.94,0.72,0.86,0.7823529411764706,0.7921666666666667,0.7921666666666667,0.5362318840579711,0.5531856378915203,0.5531856378915203,0.7308223580341228,74.0,C,70.0,0.248
rxv81295,3,robert.vega@univ.edu,Robert,Vega,62.0,100,40,60,77,90,80,100,71,100,97,100,49,80,49,80,37,60,78,80,66,100,64,100,89,100,10,4,5,7,11,0.66,0.64,0.89,0.7529411764705882,0.7438888888888888,0.7529411764705882,0.5362318840579711,0.5773083778966133,0.5773083778966133,0.7048689839572193,71.0,C,70.0,0.2305
wrw07773,3,whitney.walker@univ.edu,Whitney,Walker,91.0,100,56,60,73,90,60,100,98,100,73,100,71,80,64,80,43,60,50,80,79,100,79,100,89,100,6,6,4,7,12,0.79,0.79,0.89,0.7988235294117647,0.7993611111111111,0.7993611111111111,0.5072463768115942,0.5361497326203208,0.5361497326203208,0.7325893642305408,74.0,C,70.0,0.252
sjw45923,3,sean.walton@univ.edu,Sean,Walton,70.0,100,39,60,54,90,68,100,82,100,97,100,68,80,55,80,38,60,80,80,81,100,93,100,72,100,14,10,10,7,13,0.81,0.93,0.72,0.7658823529411765,0.7590833333333332,0.7658823529411765,0.782608695652174,0.822192513368984,0.822192513368984,0.7945106951871658,80.0,B,80.0,0.2415
alw38027,3,andrew.warren@univ.edu,Andrew,Warren,72.0,100,42,60,57,90,73,100,85,100,64,100,76,80,48,80,40,60,50,80,67,100,71,100,64,100,6,10,8,11,14,0.67,0.71,0.64,0.7141176470588235,0.7115,0.7141176470588235,0.7101449275362319,0.7270180799592565,0.7270180799592565,0.7042524828113064,71.0,C,70.0,0.2005
aaw76167,3,anthony.welch@univ.edu,Anthony,Welch,87.0,100,36,60,73,90,85,100,87,100,91,100,52,80,63,80,44,60,60,80,64,100,72,100,63,100,13,7,9,9,15,0.64,0.72,0.63,0.7976470588235294,0.7831944444444445,0.7976470588235294,0.7681159420289855,0.8141507512095746,0.8141507512095746,0.7618040488922841,77.0,C,70.0,0.1985
kjw33806,3,kevin.white@univ.edu,Kevin,White,73.0,100,42,60,79,90,67,100,65,100,87,100,75,80,63,80,51,60,64,80,70,100,94,100,81,100,7,9,7,4,6,0.7,0.94,0.81,0.7835294117647059,0.7872777777777776,0.7872777777777776,0.4782608695652174,0.48676852559205497,0.48676852559205497,0.7114416687887275,72.0,C,70.0,0.2505
txw66775,3,teresa.white@univ.edu,Teresa,White,65.0,100,38,60,59,90,62,100,83,100,97,100,48,80,67,80,37,60,54,80,62,100,82,100,79,100,10,4,6,9,8,0.62,0.82,0.79,0.7176470588235294,0.7088055555555555,0.7176470588235294,0.5362318840579711,0.5676445123503947,0.5676445123503947,0.6888521772345302,69.0,D,60.0,0.23149999999999998
frz40325,3,felicia.zuniga@univ.edu,Felicia,Zuniga,61.0,100,59,60,54,90,65,100,99,100,67,100,73,80,73,80,46,60,57,80,74,100,65,100,72,100,9,4,11,8,13,0.74,0.65,0.72,0.7694117647058824,0.7807499999999999,0.7807499999999999,0.6521739130434783,0.6773338426279603,0.6773338426279603,0.7255001527883881,73.0,C,70.0,0.21000000000000002
