Last Name,First Name,Email,Grade
Goodwin,Steven,steven.goodwin@univ.edu,4
Delgado,William,william.delgado@univ.edu,5
Grant,Rodney,rodney.grant@univ.edu,10
Jones,Charles,charles.jones@univ.edu,7
Tyler,Frank,frank.tyler@univ.edu,6
Graham,Rebecca,rebecca.graham@univ.edu,8
Thomas,Mary,mary.thomas@univ.edu,8
Dunn,Rhonda,rhonda.dunn@univ.edu,9
Jenkins,Jack,jack.jenkins@univ.edu,7
Smith,Mark,mark.smith@univ.edu,4
Lawson,Robert,robert.lawson@univ.edu,10
Fuller,Dawn,dawn.fuller@univ.edu,6
Olson,Sarah,sarah.olson@univ.edu,5
Miller,Jennifer,jennifer.miller@univ.edu,11
Meyer,Jack,jack.meyer@univ.edu,6
Howard,John,john.howard@univ.edu,5
Davis,Christopher,christopher.davis@univ.edu,5
Joyce,Traci,traci.joyce@univ.edu,5
Jones,Chase,chase.jones@univ.edu,10
Knapp,Chelsea,chelsea.knapp@univ.edu,11
Sharp,Michael,michael.sharp@univ.edu,5
Thomas,Christine,christine.thomas@univ.edu,9
Munoz,Jerome,jerome.munoz@univ.edu,10
Nunez,Christopher,christopher.nunez@univ.edu,9
Wood,Randall,randall.wood@univ.edu,10
Turner,Gregory,gregory.turner@univ.edu,11
Zuniga,Felicia,felicia.zuniga@univ.edu,8
Welch,Anthony,anthony.welch@univ.edu,9
Miller,Heather,heather.miller@univ.edu,10
Love,Marie,marie.love@univ.edu,6
Perez,Alyssa,alyssa.perez@univ.edu,6
Klein,Alexander,alexander.klein@univ.edu,4
English,Erin,erin.english@univ.edu,11
Lambert,Malaika,malaika.lambert@univ.edu,7
Olsen,Jennifer,jennifer.olsen@univ.edu,8
Dickson,Casey,casey.dickson@univ.edu,6
Perkins,Catherine,catherine.perkins@univ.edu,10
Meyer,Makayla,makayla.meyer@univ.edu,7
Everett,Michael,michael.everett@univ.edu,10
Berry,Jacob,jacob.berry@univ.edu,5
Jones,Mary,mary.jones@univ.edu,7
Dennis,Barbara,barbara.dennis@univ.edu,6
Sellers,David,david.sellers@univ.edu,7
King,Susan,susan.king@univ.edu,5
Gutierrez,Amy,amy.gutierrez@univ.edu,5
Silva,Brandi,brandi.silva@univ.edu,8
Dunn,Peter,peter.dunn@univ.edu,4
Perez,Edward,edward.perez@univ.edu,7
Patel,Christopher,christopher.patel@univ.edu,8
Lambert,Miguel,miguel.lambert@univ.edu,9
Briggs,Robert,robert.briggs@univ.edu,9
Mcdowell,Karen,karen.mcdowell@univ.edu,8
Miller,Karen,karen.miller@univ.edu,5
Estrada,Sharon,sharon.estrada@univ.edu,11
Dean,Daniel,daniel.dean@univ.edu,8
White,Teresa,teresa.white@univ.edu,9
Holloway,Melissa,melissa.holloway@univ.edu,7
Riley,Amber,amber.riley@univ.edu,4
Henderson,Kimberly,kimberly.henderson@univ.edu,6
Tran,Cody,cody.tran@univ.edu,10
Black,Jeremy,jeremy.black@univ.edu,7
Tanner,Michael,michael.tanner@univ.edu,6
Brown,Jon,jon.brown@univ.edu,7
Gill,Susan,susan.gill@univ.edu,11
Davidson,Michael,michael.davidson@univ.edu,4
Butler,Bradley,bradley.butler@univ.edu,6
Baker,Leah,leah.baker@univ.edu,9
Beck,Richard,richard.beck@univ.edu,5
Rodriguez,Jessica,jessica.rodriguez@univ.edu,9
Wright,Michael,michael.wright@univ.edu,11
Little,Jeffrey,jeffrey.little@univ.edu,6
Hill,Calvin,calvin.hill@univ.edu,10
Walker,Whitney,whitney.walker@univ.edu,7
Luna,Nicholas,nicholas.luna@univ.edu,8
Turner,Joseph,joseph.turner@univ.edu,11
Rogers,Monique,monique.rogers@univ.edu,5
Lee,Christina,christina.lee@univ.edu,9
Patton,Amanda,amanda.patton@univ.edu,9
Burton,Elizabeth,elizabeth.burton@univ.edu,10
Hawkins,Jason,jason.hawkins@univ.edu,11
Neal,Nicole,nicole.neal@univ.edu,5
Zamora,Thomas,thomas.zamora@univ.edu,5
Bowman,Michael,michael.bowman@univ.edu,4
Clark,Stephanie,stephanie.clark@univ.edu,10
George,Timothy,timothy.george@univ.edu,9
White,Kevin,kevin.white@univ.edu,4
White,Spencer,spencer.white@univ.edu,8
Herman,Daniel,daniel.herman@univ.edu,5
Middleton,Mitchell,mitchell.middleton@univ.edu,5
Blair,Natasha,natasha.blair@univ.edu,10
Espinoza,Mitchell,mitchell.espinoza@univ.edu,10
Rios,Angela,angela.rios@univ.edu,8
Glenn,Gregory,gregory.glenn@univ.edu,8
Calderon,Felicia,felicia.calderon@univ.edu,5
Bautista,Darren,darren.bautista@univ.edu,11
Santos,Carlos,carlos.santos@univ.edu,4
Peck,Andrew,andrew.peck@univ.edu,5
Bell,Renee,renee.bell@univ.edu,6
Miranda,Samantha,samantha.miranda@univ.edu,6
Archer,Alec,alec.archer@univ.edu,4
Wilson,Tracey,tracey.wilson@univ.edu,11
Dean,Kevin,kevin.dean@univ.edu,7
Davidson,Debbie,debbie.davidson@univ.edu,8
Schmidt,Cheryl,cheryl.schmidt@univ.edu,9
Mcconnell,Sarah,sarah.mcconnell@univ.edu,11
Warren,Andrew,andrew.warren@univ.edu,11
Green,David,david.green@univ.edu,8
Burns,Elizabeth,elizabeth.burns@univ.edu,8
Hernandez,Lori,lori.hernandez@univ.edu,9
Thompson,Cheryl,cheryl.thompson@univ.edu,8
Ellis,Michael,michael.ellis@univ.edu,8
Adams,Alexis,alexis.adams@univ.edu,7
Flower,John,john.g.2.flower@univ.edu,11
Martin,Lori,lori.martin@univ.edu,4
Wood,Joshua,joshua.wood@univ.edu,10
Pham,Brittany,brittany.pham@univ.edu,5
Baxter,Donald,donald.baxter@univ.edu,6
Gutierrez,Patricia,patricia.gutierrez@univ.edu,4
Estrada,Steven,steven.estrada@univ.edu,7
Espinoza,Laura,laura.espinoza@univ.edu,11
Hicks,Phillip,phillip.hicks@univ.edu,7
Lucas,Angela,angela.lucas@univ.edu,4
Figueroa,Erin,erin.figueroa@univ.edu,4
Tapia,Sandy,sandy.tapia@univ.edu,4
Martin,Amy,amy.martin@univ.edu,5
Lee,Daniel,daniel.lee@univ.edu,6
Archer,Cynthia,cynthia.archer@univ.edu,9
Campbell,Brian,brian.campbell@univ.edu,5
Hernandez,Jennifer,jennifer.hernandez@univ.edu,4
Glover,Brian,brian.glover@univ.edu,9
Todd,Jeff,jeff.todd@univ.edu,11
Barrera,Woody,woody.barrera_jr@univ.edu,10
Wagner,Kyle,kyle.wagner@univ.edu,5
Baker,Kevin,kevin.baker@univ.edu,5
Spencer,Jennifer,jennifer.spencer@univ.edu,4
Vega,Robert,robert.vega@univ.edu,7
Yu,Gregory,gregory.yu@univ.edu,11
James,Molly,molly.james@univ.edu,10
Hernandez,Janet,janet.hernandez@univ.edu,4
Jones,Stephen,stephen.jones@univ.edu,9
Gallagher,Cameron,cameron.gallagher@univ.edu,4
Tran,Alison,alison.tran@univ.edu,9
Moore,Andrew,andrew.moore@univ.edu,5
Walton,Sean,sean.walton@univ.edu,7
Kennedy,Yolanda,yolanda.kennedy@univ.edu,8
Brewer,Thomas,thomas.brewer@univ.edu,11
Alvarez,Gloria,gloria.alvarez@univ.edu,11
Turner,Mary,mary.turner@univ.edu,5
Wilson,Timothy,timothy.wilson@univ.edu,10
Ramsey,Jenny,jenny.ramsey@univ.edu,10
