Last Name,First Name,Email,Grade
Dunn,Rhonda,rhonda.dunn@univ.edu,5
Ellis,Michael,michael.ellis@univ.edu,12
Calderon,Felicia,felicia.calderon@univ.edu,8
Welch,Anthony,anthony.welch@univ.edu,13
Wagner,Kyle,kyle.wagner@univ.edu,14
Glover,Brian,brian.glover@univ.edu,5
Wood,Joshua,joshua.wood@univ.edu,13
Yu,Gregory,gregory.yu@univ.edu,6
Wood,Randall,randall.wood@univ.edu,11
Little,Jeffrey,jeffrey.little@univ.edu,14
Gallagher,Cameron,cameron.gallagher@univ.edu,12
Jenkins,Jack,jack.jenkins@univ.edu,14
Bowman,Michael,michael.bowman@univ.edu,5
Zamora,Thomas,thomas.zamora@univ.edu,7
Graham,Rebecca,rebecca.graham@univ.edu,10
Estrada,Steven,steven.estrada@univ.edu,7
Meyer,Makayla,makayla.meyer@univ.edu,5
Martin,Amy,amy.martin@univ.edu,12
Hill,Calvin,calvin.hill@univ.edu,5
Sharp,Michael,michael.sharp@univ.edu,13
Tran,Cody,cody.tran@univ.edu,5
Perez,Alyssa,alyssa.perez@univ.edu,14
Butler,Bradley,bradley.butler@univ.edu,14
Hicks,Phillip,phillip.hicks@univ.edu,10
Perkins,Catherine,catherine.perkins@univ.edu,13
Glenn,Gregory,gregory.glenn@univ.edu,8
Baxter,Donald,donald.baxter@univ.edu,9
Turner,Gregory,gregory.turner@univ.edu,11
Schmidt,Cheryl,cheryl.schmidt@univ.edu,7
Figueroa,Erin,erin.figueroa@univ.edu,8
Patel,Christopher,christopher.patel@univ.edu,7
Jones,Mary,mary.jones@univ.edu,13
Mcdowell,Karen,karen.mcdowell@univ.edu,6
Goodwin,Steven,steven.goodwin@univ.edu,6
Bautista,Darren,darren.bautista@univ.edu,14
Dean,Kevin,kevin.dean@univ.edu,8
White,Kevin,kevin.white@univ.edu,7
Martin,Lori,lori.martin@univ.edu,6
Lee,Christina,christina.lee@univ.edu,13
English,Erin,erin.english@univ.edu,6
Davidson,Michael,michael.davidson@univ.edu,10
Green,David,david.green@univ.edu,8
Henderson,Kimberly,kimberly.henderson@univ.edu,5
Moore,Andrew,andrew.moore@univ.edu,12
Walton,Sean,sean.walton@univ.edu,14
Miller,Karen,karen.miller@univ.edu,11
Delgado,William,william.delgado@univ.edu,8
Turner,Joseph,joseph.turner@univ.edu,8
Gutierrez,Patricia,patricia.gutierrez@univ.edu,11
Davidson,Debbie,debbie.davidson@univ.edu,13
Brown,Jon,jon.brown@univ.edu,12
Clark,Stephanie,stephanie.clark@univ.edu,12
Hernandez,Jennifer,jennifer.hernandez@univ.edu,9
White,Spencer,spencer.white@univ.edu,10
Tyler,Frank,frank.tyler@univ.edu,11
Gutierrez,Amy,amy.gutierrez@univ.edu,12
Spencer,Jennifer,jennifer.spencer@univ.edu,5
Beck,Richard,richard.beck@univ.edu,5
Ramsey,Jenny,jenny.ramsey@univ.edu,13
Thompson,Cheryl,cheryl.thompson@univ.edu,12
Fuller,Dawn,dawn.fuller@univ.edu,13
Meyer,Jack,jack.meyer@univ.edu,11
Knapp,Chelsea,chelsea.knapp@univ.edu,10
Olson,Sarah,sarah.olson@univ.edu,13
Joyce,Traci,traci.joyce@univ.edu,7
Turner,Mary,mary.turner@univ.edu,8
Black,Jeremy,jeremy.black@univ.edu,6
Rogers,Monique,monique.rogers@univ.edu,14
Baker,Leah,leah.baker@univ.edu,7
Sellers,David,david.sellers@univ.edu,9
Jones,Stephen,stephen.jones@univ.edu,6
Dickson,Casey,casey.dickson@univ.edu,7
Hernandez,Lori,lori.hernandez@univ.edu,6
Berry,Jacob,jacob.berry@univ.edu,10
Santos,Carlos,carlos.santos@univ.edu,10
Gill,Susan,susan.gill@univ.edu,7
Lambert,Miguel,miguel.lambert@univ.edu,13
Olsen,Jennifer,jennifer.olsen@univ.edu,14
Luna,Nicholas,nicholas.luna@univ.edu,8
Mcconnell,Sarah,sarah.mcconnell@univ.edu,13
King,Susan,susan.king@univ.edu,11
Howard,John,john.howard@univ.edu,13
Lucas,Angela,angela.lucas@univ.edu,12
Thomas,Christine,christine.thomas@univ.edu,12
Vega,Robert,robert.vega@univ.edu,10
Thomas,Mary,mary.thomas@univ.edu,10
George,Timothy,timothy.george@univ.edu,12
Patton,Amanda,amanda.patton@univ.edu,13
Briggs,Robert,robert.briggs@univ.edu,7
Archer,Alec,alec.archer@univ.edu,6
Peck,Andrew,andrew.peck@univ.edu,11
Rodriguez,Jessica,jessica.rodriguez@univ.edu,13
Grant,Rodney,rodney.grant@univ.edu,8
Dean,Daniel,daniel.dean@univ.edu,14
Jones,Charles,charles.jones@univ.edu,8
Burns,Elizabeth,elizabeth.burns@univ.edu,11
Alvarez,Gloria,gloria.alvarez@univ.edu,10
Rios,Angela,angela.rios@univ.edu,11
Tran,Alison,alison.tran@univ.edu,5
Riley,Amber,amber.riley@univ.edu,6
Dunn,Peter,peter.dunn@univ.edu,11
Herman,Daniel,daniel.herman@univ.edu,10
Zuniga,Felicia,felicia.zuniga@univ.edu,9
Walker,Whitney,whitney.walker@univ.edu,6
Baker,Kevin,kevin.baker@univ.edu,5
Nunez,Christopher,christopher.nunez@univ.edu,9
Wilson,Tracey,tracey.wilson@univ.edu,7
Holloway,Melissa,melissa.holloway@univ.edu,5
Jones,Chase,chase.jones@univ.edu,6
Estrada,Sharon,sharon.estrada@univ.edu,13
Pham,Brittany,brittany.pham@univ.edu,14
Tapia,Sandy,sandy.tapia@univ.edu,13
Lee,Daniel,daniel.lee@univ.edu,13
Todd,Jeff,jeff.todd@univ.edu,8
Espinoza,Mitchell,mitchell.espinoza@univ.edu,11
Flower,John,john.g.2.flower@univ.edu,12
Middleton,Mitchell,mitchell.middleton@univ.edu,9
Campbell,Brian,brian.campbell@univ.edu,7
James,Molly,molly.james@univ.edu,12
Wright,Michael,michael.wright@univ.edu,10
Klein,Alexander,alexander.klein@univ.edu,12
Espinoza,Laura,laura.espinoza@univ.edu,6
Silva,Brandi,brandi.silva@univ.edu,12
Tanner,Michael,michael.tanner@univ.edu,14
Archer,Cynthia,cynthia.archer@univ.edu,7
Warren,Andrew,andrew.warren@univ.edu,6
Davis,Christopher,christopher.davis@univ.edu,14
Barrera,Woody,woody.barrera_jr@univ.edu,7
Lambert,Malaika,malaika.lambert@univ.edu,7
Hernandez,Janet,janet.hernandez@univ.edu,6
Bell,Renee,renee.bell@univ.edu,12
Perez,Edward,edward.perez@univ.edu,6
Miller,Jennifer,jennifer.miller@univ.edu,11
Dennis,Barbara,barbara.dennis@univ.edu,12
Everett,Michael,michael.everett@univ.edu,5
White,Teresa,teresa.white@univ.edu,10
Munoz,Jerome,jerome.munoz@univ.edu,9
Brewer,Thomas,thomas.brewer@univ.edu,7
Love,Marie,marie.love@univ.edu,11
Miller,Heather,heather.miller@univ.edu,7
Lawson,Robert,robert.lawson@univ.edu,7
Neal,Nicole,nicole.neal@univ.edu,6
Blair,Natasha,natasha.blair@univ.edu,12
Wilson,Timothy,timothy.wilson@univ.edu,10
Adams,Alexis,alexis.adams@univ.edu,13
Smith,Mark,mark.smith@univ.edu,11
Kennedy,Yolanda,yolanda.kennedy@univ.edu,9
Burton,Elizabeth,elizabeth.burton@univ.edu,14
Miranda,Samantha,samantha.miranda@univ.edu,11
Hawkins,Jason,jason.hawkins@univ.edu,14
