Last Name,First Name,Email,Grade
Herman,Daniel,daniel.herman@univ.edu,14
Neal,Nicole,nicole.neal@univ.edu,11
Bautista,Darren,darren.bautista@univ.edu,10
Estrada,Steven,steven.estrada@univ.edu,11
Tran,Alison,alison.tran@univ.edu,14
Hernandez,Janet,janet.hernandez@univ.edu,7
Lambert,Malaika,malaika.lambert@univ.edu,13
Espinoza,Mitchell,mitchell.espinoza@univ.edu,6
Lawson,Robert,robert.lawson@univ.edu,12
Perez,Alyssa,alyssa.perez@univ.edu,11
Martin,Amy,amy.martin@univ.edu,12
Smith,Mark,mark.smith@univ.edu,9
Bowman,Michael,michael.bowman@univ.edu,6
Tyler,Frank,frank.tyler@univ.edu,14
Nunez,Christopher,christopher.nunez@univ.edu,15
Archer,Alec,alec.archer@univ.edu,8
Knapp,Chelsea,chelsea.knapp@univ.edu,8
Grant,Rodney,rodney.grant@univ.edu,12
Todd,Jeff,jeff.todd@univ.edu,13
Olson,Sarah,sarah.olson@univ.edu,6
Blair,Natasha,natasha.blair@univ.edu,10
Goodwin,Steven,steven.goodwin@univ.edu,14
Dean,Kevin,kevin.dean@univ.edu,15
Burton,Elizabeth,elizabeth.burton@univ.edu,14
Tanner,Michael,michael.tanner@univ.edu,6
Rios,Angela,angela.rios@univ.edu,6
Gill,Susan,susan.gill@univ.edu,13
White,Teresa,teresa.white@univ.edu,8
Miller,Jennifer,jennifer.miller@univ.edu,11
Gutierrez,Amy,amy.gutierrez@univ.edu,15
Brown,Jon,jon.brown@univ.edu,8
White,Kevin,kevin.white@univ.edu,6
Adams,Alexis,alexis.adams@univ.edu,11
King,Susan,susan.king@univ.edu,8
Brewer,Thomas,thomas.brewer@univ.edu,15
Lee,Daniel,daniel.lee@univ.edu,9
Holloway,Melissa,melissa.holloway@univ.edu,8
Jones,Mary,mary.jones@univ.edu,14
Hicks,Phillip,phillip.hicks@univ.edu,14
Espinoza,Laura,laura.espinoza@univ.edu,11
Middleton,Mitchell,mitchell.middleton@univ.edu,6
Mcdowell,Karen,karen.mcdowell@univ.edu,14
Green,David,david.green@univ.edu,11
Berry,Jacob,jacob.berry@univ.edu,7
Lee,Christina,christina.lee@univ.edu,7
Spencer,Jennifer,jennifer.spencer@univ.edu,8
Perez,Edward,edward.perez@univ.edu,15
Thomas,Christine,christine.thomas@univ.edu,15
Hernandez,Jennifer,jennifer.hernandez@univ.edu,9
Miller,Heather,heather.miller@univ.edu,9
Figueroa,Erin,erin.figueroa@univ.edu,15
Sharp,Michael,michael.sharp@univ.edu,6
Black,Jeremy,jeremy.black@univ.edu,13
Dunn,Peter,peter.dunn@univ.edu,12
Martin,Lori,lori.martin@univ.edu,7
Dean,Daniel,daniel.dean@univ.edu,7
Glover,Brian,brian.glover@univ.edu,12
Warren,Andrew,andrew.warren@univ.edu,14
Ellis,Michael,michael.ellis@univ.edu,9
Patton,Amanda,amanda.patton@univ.edu,11
Davis,Christopher,christopher.davis@univ.edu,11
James,Molly,molly.james@univ.edu,9
Turner,Mary,mary.turner@univ.edu,10
Baker,Kevin,kevin.baker@univ.edu,6
Bell,Renee,renee.bell@univ.edu,13
Calderon,Felicia,felicia.calderon@univ.edu,7
Hawkins,Jason,jason.hawkins@univ.edu,13
Butler,Bradley,bradley.butler@univ.edu,10
Burns,Elizabeth,elizabeth.burns@univ.edu,8
Riley,Amber,amber.riley@univ.edu,11
Estrada,Sharon,sharon.estrada@univ.edu,8
Gallagher,Cameron,cameron.gallagher@univ.edu,9
Rogers,Monique,monique.rogers@univ.edu,14
Alvarez,Gloria,gloria.alvarez@univ.edu,14
Meyer,Makayla,makayla.meyer@univ.edu,12
Thompson,Cheryl,cheryl.thompson@univ.edu,14
White,Spencer,spencer.white@univ.edu,10
Wilson,Tracey,tracey.wilson@univ.edu,10
Lucas,Angela,angela.lucas@univ.edu,8
Love,Marie,marie.love@univ.edu,6
Silva,Brandi,brandi.silva@univ.edu,8
Jones,Chase,chase.jones@univ.edu,8
Davidson,Debbie,debbie.davidson@univ.edu,8
Gutierrez,Patricia,patricia.gutierrez@univ.edu,8
Howard,John,john.howard@univ.edu,15
Wagner,Kyle,kyle.wagner@univ.edu,9
Olsen,Jennifer,jennifer.olsen@univ.edu,7
Klein,Alexander,alexander.klein@univ.edu,11
Lambert,Miguel,miguel.lambert@univ.edu,14
Rodriguez,Jessica,jessica.rodriguez@univ.edu,6
Henderson,Kimberly,kimberly.henderson@univ.edu,10
Tran,Cody,cody.tran@univ.edu,6
Dunn,Rhonda,rhonda.dunn@univ.edu,8
Welch,Anthony,anthony.welch@univ.edu,15
George,Timothy,timothy.george@univ.edu,14
Beck,Richard,richard.beck@univ.edu,12
Mcconnell,Sarah,sarah.mcconnell@univ.edu,8
Baxter,Donald,donald.baxter@univ.edu,11
Wood,Randall,randall.wood@univ.edu,10
Little,Jeffrey,jeffrey.little@univ.edu,6
Graham,Rebecca,rebecca.graham@univ.edu,14
Patel,Christopher,christopher.patel@univ.edu,14
Flower,John,john.g.2.flower@univ.edu,8
Jones,Stephen,stephen.jones@univ.edu,14
Hernandez,Lori,lori.hernandez@univ.edu,12
Peck,Andrew,andrew.peck@univ.edu,14
Fuller,Dawn,dawn.fuller@univ.edu,10
Santos,Carlos,carlos.santos@univ.edu,7
Kennedy,Yolanda,yolanda.kennedy@univ.edu,6
English,Erin,erin.english@univ.edu,15
Luna,Nicholas,nicholas.luna@univ.edu,14
Tapia,Sandy,sandy.tapia@univ.edu,7
Delgado,William,william.delgado@univ.edu,11
Turner,Gregory,gregory.turner@univ.edu,13
Thomas,Mary,mary.thomas@univ.edu,15
Ramsey,Jenny,jenny.ramsey@univ.edu,10
Vega,Robert,robert.vega@univ.edu,11
Munoz,Jerome,jerome.munoz@univ.edu,8
Joyce,Traci,traci.joyce@univ.edu,14
Hill,Calvin,calvin.hill@univ.edu,7
Miranda,Samantha,samantha.miranda@univ.edu,11
Zamora,Thomas,thomas.zamora@univ.edu,11
Jones,Charles,charles.jones@univ.edu,15
Clark,Stephanie,stephanie.clark@univ.edu,8
Baker,Leah,leah.baker@univ.edu,9
Turner,Joseph,joseph.turner@univ.edu,6
Wood,Joshua,joshua.wood@univ.edu,8
Barrera,Woody,woody.barrera_jr@univ.edu,8
Walton,Sean,sean.walton@univ.edu,13
Jenkins,Jack,jack.jenkins@univ.edu,12
Moore,Andrew,andrew.moore@univ.edu,14
Wilson,Timothy,timothy.wilson@univ.edu,7
Zuniga,Felicia,felicia.zuniga@univ.edu,13
Wright,Michael,michael.wright@univ.edu,13
Pham,Brittany,brittany.pham@univ.edu,7
Perkins,Catherine,catherine.perkins@univ.edu,14
Everett,Michael,michael.everett@univ.edu,10
Campbell,Brian,brian.campbell@univ.edu,15
Sellers,David,david.sellers@univ.edu,12
Yu,Gregory,gregory.yu@univ.edu,7
Briggs,Robert,robert.briggs@univ.edu,10
Walker,Whitney,whitney.walker@univ.edu,12
Meyer,Jack,jack.meyer@univ.edu,6
Dennis,Barbara,barbara.dennis@univ.edu,12
Davidson,Michael,michael.davidson@univ.edu,9
Archer,Cynthia,cynthia.archer@univ.edu,12
Schmidt,Cheryl,cheryl.schmidt@univ.edu,7
Dickson,Casey,casey.dickson@univ.edu,7
Miller,Karen,karen.miller@univ.edu,14
Glenn,Gregory,gregory.glenn@univ.edu,7
