,Section,Email Address,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade,Floor Score,Exam Score
gsa80084,2,gloria.alvarez@univ.edu,Gloria,Alvarez,97.0,100,59,60,81,90,82,100,77,100,61,100,52,80,57,80,58,60,57,80,61,100,63,100,69,100,10,7,6,11,14,0.61,0.63,0.69,0.8011764705882353,0.8095000000000001,0.8095000000000001,0.6956521739130435,0.7362159409218233,0.7362159409218233,0.7416647822765471,75.0,C,70.0,0.197
axa69912,2,alec.archer@univ.edu,Alec,Archer,94.0,100,40,60,82,90,88,100,93,100,69,100,65,80,66,80,45,60,53,80,91,100,87,100,70,100,6,8,5,4,8,0.91,0.87,0.7,0.8176470588235294,0.8067777777777778,0.8176470588235294,0.4492753623188406,0.4650572956455309,0.4650572956455309,0.704076012223071,71.0,C,70.0,0.2375
lnb72237,2,leah.baker@univ.edu,Leah,Baker,79.0,100,36,60,81,90,93,100,63,100,85,100,67,80,50,80,54,60,71,80,100,100,72,100,68,100,7,10,10,9,9,1.0,0.72,0.68,0.7988235294117647,0.7950000000000002,0.7988235294117647,0.6521739130434783,0.6568245480010185,0.6568245480010185,0.7405767761650115,75.0,C,70.0,0.224
dpb38926,2,darren.bautista@univ.edu,Darren,Bautista,92.0,100,53,60,54,90,71,100,92,100,87,100,55,80,55,80,57,60,62,80,61,100,84,100,79,100,14,10,11,11,10,0.61,0.84,0.79,0.7976470588235294,0.8003333333333333,0.8003333333333333,0.8115942028985508,0.841100076394194,0.841100076394194,0.8054633562515916,81.0,B,80.0,0.23299999999999998
rxb46862,2,renee.bell@univ.edu,Renee,Bell,67.0,100,57,60,89,90,71,100,81,100,88,100,51,80,77,80,47,60,70,80,69,100,83,100,96,100,12,5,12,6,13,0.69,0.83,0.96,0.8211764705882353,0.8267222222222224,0.8267222222222224,0.6956521739130435,0.7284059078176724,0.7284059078176724,0.8107106612341907,82.0,B,80.0,0.26149999999999995
rjb99544,2,robert.briggs@univ.edu,Robert,Briggs,85.0,100,50,60,54,90,93,100,94,100,86,100,49,80,76,80,40,60,78,80,79,100,68,100,64,100,7,5,7,9,10,0.79,0.68,0.64,0.8294117647058824,0.8217500000000001,0.8294117647058824,0.5507246376811594,0.5715304303539598,0.5715304303539598,0.706723834988541,71.0,C,70.0,0.20350000000000001
exb04282,2,elizabeth.burns@univ.edu,Elizabeth,Burns,84.0,100,56,60,83,90,98,100,89,100,89,100,53,80,77,80,41,60,74,80,100,100,78,100,60,100,11,4,12,8,8,1.0,0.78,0.6,0.8752941176470588,0.868888888888889,0.8752941176470588,0.6231884057971014,0.6421288515406162,0.6421288515406162,0.7607563025210083,77.0,C,70.0,0.218
bxb34724,2,bradley.butler@univ.edu,Bradley,Butler,83.0,100,45,60,59,90,90,100,60,100,100,100,76,80,58,80,56,60,75,80,75,100,92,100,64,100,14,5,10,6,10,0.75,0.92,0.64,0.8258823529411765,0.8281388888888888,0.8281388888888888,0.6521739130434783,0.691240132416603,0.691240132416603,0.7641275952805364,77.0,C,70.0,0.2255
sxc87307,2,stephanie.clark@univ.edu,Stephanie,Clark,60.0,100,39,60,55,90,80,100,90,100,93,100,78,80,50,80,51,60,60,80,95,100,73,100,100,100,12,6,11,10,8,0.95,0.73,1.0,0.7717647058823529,0.7691111111111111,0.7717647058823529,0.6811594202898551,0.7037840590781766,0.7037840590781766,0.7903411000763941,80.0,B,80.0,0.27049999999999996
mkd53937,2,michael.davidson@univ.edu,Michael,Davidson,60.0,100,51,60,61,90,76,100,87,100,87,100,67,80,72,80,50,60,52,80,88,100,71,100,62,100,10,6,4,4,9,0.88,0.71,0.62,0.78,0.7848611111111112,0.7848611111111112,0.4782608695652174,0.5160198624904507,0.5160198624904507,0.6767504031915796,68.0,D,60.0,0.208
wxd81200,2,william.delgado@univ.edu,William,Delgado,73.0,100,36,60,78,90,63,100,92,100,81,100,51,80,73,80,50,60,54,80,68,100,64,100,90,100,8,10,9,5,11,0.68,0.64,0.9,0.7658823529411765,0.7615,0.7658823529411765,0.6231884057971014,0.63943213649096,0.63943213649096,0.7311825821237586,74.0,C,70.0,0.233
cad69827,2,casey.dickson@univ.edu,Casey,Dickson,76.0,100,48,60,56,90,77,100,67,100,65,100,66,80,51,80,55,60,53,80,81,100,98,100,88,100,7,10,7,6,7,0.81,0.98,0.88,0.7223529411764706,0.7313888888888889,0.7313888888888889,0.5362318840579711,0.5453399541634836,0.5453399541634836,0.7266575418046006,73.0,C,70.0,0.2705
pmd76895,2,peter.dunn@univ.edu,Peter,Dunn,94.0,100,47,60,77,90,100,100,66,100,65,100,62,80,60,80,45,60,80,80,72,100,65,100,77,100,11,10,4,4,12,0.72,0.65,0.77,0.8188235294117647,0.8163888888888889,0.8188235294117647,0.5942028985507246,0.6375350140056022,0.6375350140056022,0.7352899159663866,74.0,C,70.0,0.2165
mbe87487,2,michael.ellis@univ.edu,Michael,Ellis,74.0,100,58,60,62,90,94,100,66,100,96,100,61,80,76,80,53,60,69,80,66,100,74,100,92,100,12,7,11,8,9,0.66,0.74,0.92,0.8341176470588235,0.841388888888889,0.841388888888889,0.6811594202898551,0.7052126305067482,0.7052126305067482,0.79311934470758,80.0,B,80.0,0.245
exe90802,2,erin.english@univ.edu,Erin,English,76.0,100,53,60,57,90,95,100,95,100,80,100,53,80,60,80,50,60,51,80,68,100,98,100,86,100,6,5,9,11,15,0.68,0.98,0.86,0.788235294117647,0.7859999999999999,0.788235294117647,0.6666666666666666,0.6887827858416093,0.6887827858416093,0.7829289533995416,79.0,C,70.0,0.261
sxe57604,2,sharon.estrada@univ.edu,Sharon,Estrada,92.0,100,51,60,55,90,83,100,91,100,99,100,67,80,65,80,49,60,49,80,96,100,68,100,72,100,13,9,9,11,8,0.96,0.68,0.72,0.8247058823529412,0.8190277777777778,0.8247058823529412,0.7246376811594203,0.7527221797810032,0.7527221797810032,0.7796990068754774,78.0,C,70.0,0.224
dxf17355,2,dawn.fuller@univ.edu,Dawn,Fuller,62.0,100,47,60,72,90,69,100,87,100,82,100,76,80,76,80,57,60,62,80,90,100,99,100,100,100,13,5,7,6,10,0.9,0.99,1.0,0.8117647058823529,0.8208333333333334,0.8208333333333334,0.5942028985507246,0.637764196587726,0.637764196587726,0.8136625923096512,82.0,B,80.0,0.29400000000000004
stg78249,2,susan.gill@univ.edu,Susan,Gill,100.0,100,38,60,67,90,78,100,69,100,68,100,57,80,78,80,51,60,73,80,92,100,66,100,74,100,7,4,4,11,13,0.92,0.66,0.74,0.7988235294117647,0.7977777777777777,0.7988235294117647,0.5652173913043478,0.6014744079449962,0.6014744079449962,0.7229717341482047,73.0,C,70.0,0.22300000000000003
akg06585,2,amy.gutierrez@univ.edu,Amy,Gutierrez,64.0,100,50,60,54,90,82,100,72,100,99,100,68,80,57,80,59,60,61,80,96,100,95,100,62,100,12,7,8,5,15,0.96,0.95,0.62,0.7835294117647059,0.7911666666666667,0.7911666666666667,0.6811594202898551,0.7270613700025466,0.7270613700025466,0.7705850776674307,78.0,C,70.0,0.23600000000000002
pxg66695,2,patricia.gutierrez@univ.edu,Patricia,Gutierrez,92.0,100,57,60,70,90,94,100,92,100,66,100,75,80,53,80,54,60,61,80,70,100,88,100,82,100,11,7,8,4,8,0.7,0.88,0.82,0.84,0.8430277777777778,0.8430277777777778,0.5507246376811594,0.5779271708683473,0.5779271708683473,0.7565892623716153,76.0,C,70.0,0.246
pjh14325,2,phillip.hicks@univ.edu,Phillip,Hicks,80.0,100,46,60,72,90,83,100,63,100,60,100,67,80,76,80,48,60,48,80,63,100,87,100,92,100,10,7,7,7,14,0.63,0.87,0.92,0.7564705882352941,0.7614166666666666,0.7614166666666666,0.6521739130434783,0.690837789661319,0.690837789661319,0.7683180035650623,77.0,C,70.0,0.2565
